
RECORDING STARTED
Push robot forward, then release.
Let it oscillate until it settles.

time_ms,pitch,pitchRate,angularAccel,accelPitch
2322,-13.095,-37.451,262.763,2.381
2326,-12.933,-37.031,92.640,3.205
2331,-12.765,-34.963,462.590,3.163
2335,-12.604,-35.787,-181.751,3.243
2340,-12.425,-33.360,535.631,3.754
2344,-12.289,-38.093,-1041.554,2.837
2349,-12.144,-36.619,321.958,3.175
2353,-11.980,-33.757,630.527,3.580
2358,-11.809,-31.428,516.012,3.501
2363,-11.646,-32.100,-148.618,3.439
2367,-11.494,-33.604,-332.703,3.393
2372,-11.309,-31.467,471.625,4.761
2376,-11.152,-30.528,206.813,3.308
2381,-10.983,-28.909,357.403,3.749
2385,-10.814,-33.940,-1113.936,4.966
2389,-10.643,-33.100,182.701,5.200
2394,-10.457,-29.764,739.334,5.228
2398,-10.287,-33.085,-732.057,5.409
2404,-10.105,-31.787,286.091,5.869
2408,-9.922,-29.505,503.184,5.588
2412,-9.736,-31.948,-543.800,6.418
2417,-9.544,-29.215,606.755,6.321
2421,-9.352,-27.734,327.636,6.209
2426,-9.163,-24.764,659.881,5.541
2430,-8.992,-29.344,-1014.206,5.883
2435,-8.801,-25.940,748.588,6.318
2439,-8.595,-23.963,440.530,6.778
2444,-8.418,-28.902,-1095.593,6.651
2449,-8.227,-22.657,1371.765,6.181
2453,-8.027,-23.489,-182.790,7.005
2458,-7.829,-23.741,-56.130,7.097
2462,-7.653,-26.031,-512.550,6.648
2466,-7.477,-25.390,142.493,6.793
2471,-7.290,-22.657,609.462,6.822
2475,-7.083,-20.673,440.660,7.623
2480,-6.897,-22.726,-455.914,7.255
2484,-6.690,-19.222,773.811,7.679
2489,-6.483,-20.764,-342.359,8.258
2494,-6.261,-16.001,1055.709,8.150
2498,-6.067,-19.390,-746.545,7.746
2503,-5.862,-18.696,153.822,8.328
2507,-5.670,-19.688,-219.939,8.098
2511,-5.478,-19.436,56.029,8.191
2516,-5.281,-18.054,310.072,8.328
2520,-5.086,-18.406,-77.963,8.527
2525,-4.888,-15.146,730.184,8.146
2530,-4.682,-14.558,130.503,8.611
2534,-4.498,-18.161,-802.105,8.529
2539,-4.317,-15.314,629.940,7.951
2543,-4.129,-13.528,396.242,8.066
2548,-3.935,-12.986,120.441,8.443
2552,-3.746,-15.093,-468.610,8.842
2556,-3.534,-11.505,794.461,9.397
2561,-3.329,-11.703,-44.105,9.276
2565,-3.137,-10.383,295.836,8.546
2569,-2.936,-10.642,-57.625,9.252
2575,-2.749,-11.100,-102.327,8.849
2579,-2.555,-9.726,305.887,9.095
2584,-2.346,-8.077,369.037,9.680
2588,-2.146,-8.177,-22.291,9.439
2592,-1.949,-9.619,-324.651,9.771
2597,-1.761,-8.856,170.545,9.398
